,switch,in_port,eth_dst,packet_count,byte_count,userID,instanceID,runID,timestamp,stageID,appName
12,1,1,00:00:00:00:00:04,18213,27522060,aaltosea1,rohe_test_isntance,experiment1,1700834629,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,18322,27686868,aaltosea1,rohe_test_isntance,experiment1,1700834630,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,18447,27875868,aaltosea1,rohe_test_isntance,experiment1,1700834631,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,18561,28048236,aaltosea1,rohe_test_isntance,experiment1,1700834632,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,18675,28220604,aaltosea1,rohe_test_isntance,experiment1,1700834633,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,18790,28394484,aaltosea1,rohe_test_isntance,experiment1,1700834634,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,18906,28569876,aaltosea1,rohe_test_isntance,experiment1,1700834635,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19033,28761900,aaltosea1,rohe_test_isntance,experiment1,1700834636,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19154,28944852,aaltosea1,rohe_test_isntance,experiment1,1700834637,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19286,29144436,aaltosea1,rohe_test_isntance,experiment1,1700834638,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19378,29283540,aaltosea1,rohe_test_isntance,experiment1,1700834639,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19464,29412650,aaltosea1,rohe_test_isntance,experiment1,1700834640,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19553,29547218,aaltosea1,rohe_test_isntance,experiment1,1700834641,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19555,29550242,aaltosea1,rohe_test_isntance,experiment1,1700834642,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19676,29733194,aaltosea1,rohe_test_isntance,experiment1,1700834643,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19784,29896490,aaltosea1,rohe_test_isntance,experiment1,1700834644,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19877,30037106,aaltosea1,rohe_test_isntance,experiment1,1700834645,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,19990,30207962,aaltosea1,rohe_test_isntance,experiment1,1700834646,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20083,30347108,aaltosea1,rohe_test_isntance,experiment1,1700834647,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20183,30498308,aaltosea1,rohe_test_isntance,experiment1,1700834648,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20292,30663116,aaltosea1,rohe_test_isntance,experiment1,1700834649,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20408,30838508,aaltosea1,rohe_test_isntance,experiment1,1700834650,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20531,31024484,aaltosea1,rohe_test_isntance,experiment1,1700834651,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20629,31172660,aaltosea1,rohe_test_isntance,experiment1,1700834652,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20743,31345028,aaltosea1,rohe_test_isntance,experiment1,1700834653,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20856,31515884,aaltosea1,rohe_test_isntance,experiment1,1700834654,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,20952,31661036,aaltosea1,rohe_test_isntance,experiment1,1700834655,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21060,31824332,aaltosea1,rohe_test_isntance,experiment1,1700834656,rohe_test_stage,sdn
12,1,1,00:00:00:00:00:04,21163,31980068,aaltosea1,rohe_test_isntance,experiment1,1700834657,rohe_test_stage,sdn
