,switch,flow_packet_count,flow_byte_count,port_rx_packets,port_rx_bytes,port_rx_errors,port_tx_packets,port_tx_bytes,port_tx_errors,agg_byte_count,agg_packet_count,agg_flow_count,userID,instanceID,runID,timestamp,stageID,appName,scores,anomaly
11,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
8,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
5,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
2,1,218,291866,850639,1284694559,0,769523,1161657635,0,66612,46,1,aaltosea1,rohe_test_isntance,experiment1,1699531717.5334806,rohe_test_stage,sdn,-229999999999.50003,-1
3,1,12707,19178696,288478,435466367,0,251517,379263154,0,828576,548,1,aaltosea1,rohe_test_isntance,experiment1,1700473675.7401564,rohe_test_stage,sdn,-0.37499999999562506,-1
4,1,8934,13482392,303517,458175831,0,266561,401980178,0,615384,407,1,aaltosea1,rohe_test_isntance,experiment1,1700473680.891283,rohe_test_stage,sdn,-0.8374999999933124,-1
0,1,6149,9264296,241780,364952635,0,204818,308747910,0,715176,473,1,aaltosea1,rohe_test_isntance,experiment1,1700473660.4452398,rohe_test_stage,sdn,-0.026315789468143835,-1
2,1,9664,14582290,270398,408160929,0,233442,351965276,0,737856,488,1,aaltosea1,rohe_test_isntance,experiment1,1700473670.646538,rohe_test_stage,sdn,-0.0555555555432099,-1
3,1,12707,19178696,288478,435466367,0,251517,379263154,0,828576,548,1,aaltosea1,rohe_test_isntance,experiment1,1700473675.7401564,rohe_test_stage,sdn,-4.333333333225926,-1
2,1,9664,14582290,270398,408160929,0,233442,351965276,0,737856,488,1,aaltosea1,rohe_test_isntance,experiment1,1700473670.646538,rohe_test_stage,sdn,-0.0555555555432099,-1
3,1,12707,19178696,288478,435466367,0,251517,379263154,0,828576,548,1,aaltosea1,rohe_test_isntance,experiment1,1700473675.7401564,rohe_test_stage,sdn,-4.333333333225926,-1
3,1,12707,19178696,288478,435466367,0,251517,379263154,0,828576,548,1,aaltosea1,rohe_test_isntance,experiment1,1700473675.7401564,rohe_test_stage,sdn,-0.31666666666122234,-1
12,1,12107,18272418,466341,704086422,0,429415,647890281,0,778680,515,1,aaltosea1,rohe_test_isntance,experiment1,1700473721.8790874,rohe_test_stage,sdn,-0.666666666640741,-1
3,1,12707,19178696,288478,435466367,0,251517,379263154,0,828576,548,1,aaltosea1,rohe_test_isntance,experiment1,1700473675.7401564,rohe_test_stage,sdn,-0.31666666666122234,-1
