------------------------------------------------------------
Server listening on UDP port 29780
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.5 port 29780 connected with 10.0.0.11 port 59590
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 74.0-75.0 sec  4.92 MBytes  41.3 Mbits/sec   0.003 ms 14101/17610 (80%)
[  3] 75.0-76.0 sec  1.62 MBytes  13.6 Mbits/sec   0.015 ms 10735/11888 (90%)
[  3] 76.0-77.0 sec  6.66 MBytes  55.8 Mbits/sec   0.003 ms 15888/20637 (77%)
[  3] 77.0-78.0 sec  4.13 MBytes  34.6 Mbits/sec   0.052 ms 12936/15879 (81%)
[  3] 78.0-79.0 sec  7.08 MBytes  59.4 Mbits/sec   0.053 ms 6905/11957 (58%)
[  3] 79.0-80.0 sec  7.57 MBytes  63.5 Mbits/sec   0.004 ms 12351/17750 (70%)
[  3] 80.0-81.0 sec  5.94 MBytes  49.8 Mbits/sec   0.012 ms 12144/16378 (74%)
[  3] 81.0-82.0 sec  2.80 MBytes  23.4 Mbits/sec   0.003 ms 10987/12981 (85%)
[  3] 82.0-83.0 sec   607 KBytes  4.97 Mbits/sec   0.002 ms 9243/ 9666 (96%)
[  3] 83.0-84.0 sec  6.57 MBytes  55.1 Mbits/sec   0.004 ms 8096/12782 (63%)
[  3] 84.0-85.0 sec  2.98 MBytes  25.0 Mbits/sec   0.002 ms 11904/14027 (85%)
[  3] 85.0-86.0 sec  2.55 MBytes  21.4 Mbits/sec   0.008 ms 14443/16260 (89%)
[  3] 86.0-87.0 sec  3.57 MBytes  30.0 Mbits/sec   0.018 ms 9321/11870 (79%)
[  3] 87.0-88.0 sec  2.06 MBytes  17.3 Mbits/sec   0.027 ms  871/ 2339 (37%)
[  3] 88.0-89.0 sec  4.88 MBytes  40.9 Mbits/sec   0.024 ms 8820/12302 (72%)
[  3] 89.0-90.0 sec  7.60 MBytes  63.7 Mbits/sec   0.324 ms 5850/11268 (52%)
[  3] 90.0-91.0 sec  3.71 MBytes  31.1 Mbits/sec   0.045 ms 4873/ 7521 (65%)
[  3] 91.0-92.0 sec  2.45 MBytes  20.5 Mbits/sec   0.004 ms 5572/ 7318 (76%)
[  3] 92.0-93.0 sec  4.09 MBytes  34.3 Mbits/sec   0.005 ms 8932/11846 (75%)
[  3] 93.0-94.0 sec  1.93 MBytes  16.2 Mbits/sec   0.273 ms 10415/11795 (88%)
[  3] 94.0-95.0 sec   992 KBytes  8.13 Mbits/sec   0.004 ms 12356/13047 (95%)
[  3] 95.0-96.0 sec  2.69 MBytes  22.6 Mbits/sec   0.054 ms 5776/ 7698 (75%)
[  3] 96.0-97.0 sec  3.10 MBytes  26.0 Mbits/sec   0.109 ms 4439/ 6649 (67%)
[  3] 97.0-98.0 sec  7.69 MBytes  64.5 Mbits/sec   0.023 ms 6368/11852 (54%)
[  3] 98.0-99.0 sec  3.31 MBytes  27.8 Mbits/sec   0.126 ms 4390/ 6752 (65%)
[  3] 99.0-100.0 sec  3.09 MBytes  26.0 Mbits/sec   0.401 ms 5362/ 7569 (71%)
[  3] 100.0-101.0 sec  9.08 MBytes  76.2 Mbits/sec   0.014 ms 7216/13694 (53%)
[  3] 101.0-102.0 sec  4.34 MBytes  36.4 Mbits/sec   0.023 ms 7428/10527 (71%)
[  3] 102.0-103.0 sec  7.95 MBytes  66.7 Mbits/sec   0.007 ms 9748/15420 (63%)
[  3] 103.0-104.0 sec   871 KBytes  7.14 Mbits/sec   0.007 ms 8520/ 9127 (93%)
[  3] 104.0-105.0 sec  1.67 MBytes  14.0 Mbits/sec   0.005 ms 4134/ 5328 (78%)
[  3] 105.0-106.0 sec   801 KBytes  6.56 Mbits/sec   0.057 ms 6506/ 7064 (92%)
[  3] 106.0-107.0 sec  3.29 MBytes  27.6 Mbits/sec   0.025 ms 2763/ 5110 (54%)
[  3] 107.0-108.0 sec  3.46 MBytes  29.0 Mbits/sec   4.000 ms 4858/ 7324 (66%)
[  3] 108.0-109.0 sec  3.81 MBytes  32.0 Mbits/sec   0.018 ms 3887/ 6605 (59%)
[  3] 109.0-110.0 sec  2.09 MBytes  17.5 Mbits/sec   2.604 ms 2098/ 3588 (58%)
[  3] 110.0-111.0 sec  3.44 MBytes  28.9 Mbits/sec   6.155 ms 4032/ 6486 (62%)
[  3] 111.0-112.0 sec  1.82 MBytes  15.3 Mbits/sec   0.051 ms 8550/ 9848 (87%)
[  3] 112.0-113.0 sec  1.58 MBytes  13.3 Mbits/sec   0.004 ms 12905/14034 (92%)
[  3] 113.0-114.0 sec  1.10 MBytes  9.24 Mbits/sec   0.372 ms 9156/ 9942 (92%)
[  3] 114.0-115.0 sec  7.07 MBytes  59.3 Mbits/sec   0.176 ms 10604/15647 (68%)
[  3] 115.0-116.0 sec  4.99 MBytes  41.9 Mbits/sec   0.002 ms 6448/10010 (64%)
[  3] 116.0-117.0 sec   916 KBytes  7.50 Mbits/sec   0.002 ms 5591/ 6229 (90%)
[  3] 117.0-118.0 sec  2.38 MBytes  20.0 Mbits/sec   4.574 ms 5772/ 7473 (77%)
[  3] 118.0-119.0 sec  3.04 MBytes  25.5 Mbits/sec   0.004 ms 6341/ 8512 (74%)
[  3] 119.0-120.0 sec  6.49 MBytes  54.4 Mbits/sec   0.101 ms 13887/18513 (75%)
[  3] 120.0-121.0 sec  2.74 MBytes  22.9 Mbits/sec   0.014 ms 8217/10168 (81%)
[  3] 121.0-122.0 sec  5.87 MBytes  49.2 Mbits/sec   0.008 ms 19348/23533 (82%)
[  3] 122.0-123.0 sec  2.88 MBytes  24.2 Mbits/sec   0.005 ms 16509/18566 (89%)
[  3] 123.0-124.0 sec  4.13 MBytes  34.7 Mbits/sec   0.018 ms 16442/19390 (85%)
[  3] 124.0-125.0 sec  7.70 MBytes  64.6 Mbits/sec   0.016 ms 13750/19245 (71%)
[  3] 125.0-126.0 sec  3.68 MBytes  30.8 Mbits/sec   0.193 ms 11380/14003 (81%)
[  3] 126.0-127.0 sec  3.93 MBytes  32.9 Mbits/sec   0.023 ms 7365/10166 (72%)
[  3] 127.0-128.0 sec  1.36 MBytes  11.4 Mbits/sec   0.004 ms  746/ 1719 (43%)
[  3] 128.0-129.0 sec  1.56 MBytes  13.1 Mbits/sec   0.138 ms 1547/ 2658 (58%)
[  3] 129.0-130.0 sec  1.35 MBytes  11.3 Mbits/sec   0.040 ms  832/ 1793 (46%)
[  3] 130.0-131.0 sec  6.09 MBytes  51.1 Mbits/sec   0.002 ms 11689/16035 (73%)
[  3] 131.0-132.0 sec  4.20 MBytes  35.2 Mbits/sec   0.045 ms 12832/15829 (81%)
[  3] 132.0-133.0 sec  2.46 MBytes  20.7 Mbits/sec   0.022 ms 6169/ 7926 (78%)
[  3] 133.0-134.0 sec  1.26 MBytes  10.6 Mbits/sec   0.002 ms 4702/ 5602 (84%)
[  3] 134.0-135.0 sec  4.56 MBytes  38.3 Mbits/sec   0.029 ms 12241/15494 (79%)
[  3] 135.0-136.0 sec  1.74 MBytes  14.6 Mbits/sec   0.003 ms 6783/ 8021 (85%)
[  3] 136.0-137.0 sec  5.37 MBytes  45.1 Mbits/sec   0.005 ms 9216/13047 (71%)
[  3] 137.0-138.0 sec  2.10 MBytes  17.6 Mbits/sec   0.025 ms 3577/ 5074 (70%)
[  3] 138.0-139.0 sec  2.91 MBytes  24.4 Mbits/sec  15.643 ms 6270/ 8348 (75%)
[  3] 139.0-140.0 sec   929 KBytes  7.61 Mbits/sec   0.009 ms 4960/ 5607 (88%)
[  3] 140.0-141.0 sec  3.41 MBytes  28.6 Mbits/sec   2.385 ms 7688/10121 (76%)
[  3] 141.0-142.0 sec  5.80 MBytes  48.7 Mbits/sec   0.010 ms 10161/14300 (71%)
[  3] 142.0-143.0 sec  2.30 MBytes  19.3 Mbits/sec   0.006 ms 10343/11983 (86%)
[  3] 143.0-144.0 sec  2.98 MBytes  25.0 Mbits/sec   0.009 ms 2945/ 5070 (58%)
[  3] 144.0-145.0 sec  4.50 MBytes  37.7 Mbits/sec   0.003 ms 4496/ 7705 (58%)
